Repartition Join Results:
Employee ID: 6, Employee Name: Timothy Minert, Department ID: 1, Department Name: Dep A
Employee ID: 22, Employee Name: Katherine Roundtree, Department ID: 1, Department Name: Dep A
Employee ID: 28, Employee Name: Douglas Frye, Department ID: 1, Department Name: Dep A
Employee ID: 34, Employee Name: Bobby Benz, Department ID: 1, Department Name: Dep A
Employee ID: 38, Employee Name: Michael Lovecchio, Department ID: 1, Department Name: Dep A
Employee ID: 41, Employee Name: Jamie Jennings, Department ID: 1, Department Name: Dep A
Employee ID: 49, Employee Name: Joseph Faust, Department ID: 1, Department Name: Dep A
Employee ID: 21, Employee Name: Edward Hodges, Department ID: 5, Department Name: Dep E
Employee ID: 32, Employee Name: George Paul, Department ID: 5, Department Name: Dep E
Employee ID: 35, Employee Name: Ted Conant, Department ID: 5, Department Name: Dep E
Employee ID: 3, Employee Name: Dustin Tureson, Department ID: 4, Department Name: Dep D
Employee ID: 9, Employee Name: James Wickstrom, Department ID: 4, Department Name: Dep D
Employee ID: 37, Employee Name: Benito Cunningham, Department ID: 4, Department Name: Dep D
Employee ID: 39, Employee Name: Rosa Alexander, Department ID: 4, Department Name: Dep D
Employee ID: 7, Employee Name: Suzanne Adams, Department ID: 3, Department Name: Dep C
Employee ID: 8, Employee Name: Anthony Lovell, Department ID: 3, Department Name: Dep C
Employee ID: 13, Employee Name: James Brunson, Department ID: 3, Department Name: Dep C
Employee ID: 1, Employee Name: Elizabeth Jordan, Department ID: 7, Department Name: Dep G
Employee ID: 4, Employee Name: Melissa Mcglone, Department ID: 7, Department Name: Dep G
Employee ID: 5, Employee Name: William Varela, Department ID: 7, Department Name: Dep G
Employee ID: 10, Employee Name: Tommy Cannon, Department ID: 7, Department Name: Dep G
Employee ID: 23, Employee Name: Johnnie Vogel, Department ID: 7, Department Name: Dep G
Employee ID: 25, Employee Name: Vanessa Gazaille, Department ID: 7, Department Name: Dep G
Employee ID: 40, Employee Name: Ahmed Prickett, Department ID: 7, Department Name: Dep G
Employee ID: 44, Employee Name: Benjamin Hill, Department ID: 7, Department Name: Dep G
Employee ID: 48, Employee Name: Crystal Milligan, Department ID: 7, Department Name: Dep G
Employee ID: 50, Employee Name: Patrick Carruthers, Department ID: 7, Department Name: Dep G
Employee ID: 2, Employee Name: Nancy Blanchard, Department ID: 2, Department Name: Dep B
Employee ID: 11, Employee Name: Dona Kneip, Department ID: 2, Department Name: Dep B
Employee ID: 12, Employee Name: Kelly Brummett, Department ID: 2, Department Name: Dep B
Employee ID: 14, Employee Name: Thomas Jenson, Department ID: 2, Department Name: Dep B
Employee ID: 15, Employee Name: Kathleen Flannery, Department ID: 2, Department Name: Dep B
Employee ID: 17, Employee Name: Robert Hawkin, Department ID: 2, Department Name: Dep B
Employee ID: 18, Employee Name: Leone Regan, Department ID: 2, Department Name: Dep B
Employee ID: 19, Employee Name: Cindy Alexander, Department ID: 2, Department Name: Dep B
Employee ID: 20, Employee Name: Joanna Robles, Department ID: 2, Department Name: Dep B
Employee ID: 24, Employee Name: Arthur Sera, Department ID: 2, Department Name: Dep B
Employee ID: 26, Employee Name: Mario Cabral, Department ID: 2, Department Name: Dep B
Employee ID: 27, Employee Name: Ebony Viner, Department ID: 2, Department Name: Dep B
Employee ID: 30, Employee Name: Hattie Dorko, Department ID: 2, Department Name: Dep B
Employee ID: 31, Employee Name: Shannon Wood, Department ID: 2, Department Name: Dep B
Employee ID: 33, Employee Name: Matthew Copple, Department ID: 2, Department Name: Dep B
Employee ID: 36, Employee Name: Magdalena Kelly, Department ID: 2, Department Name: Dep B
Employee ID: 42, Employee Name: Martha Cooper, Department ID: 2, Department Name: Dep B
Employee ID: 16, Employee Name: Sara Wier, Department ID: 6, Department Name: Dep F
Employee ID: 29, Employee Name: Alicia Nolen, Department ID: 6, Department Name: Dep F
Employee ID: 43, Employee Name: Nellie Sawchuk, Department ID: 6, Department Name: Dep F
Employee ID: 45, Employee Name: Blanche Strand, Department ID: 6, Department Name: Dep F
Employee ID: 46, Employee Name: Angela Hatfield, Department ID: 6, Department Name: Dep F
Employee ID: 47, Employee Name: Barbara Gill, Department ID: 6, Department Name: Dep F
